Frame#	acq_t_s	NumEvent	Flux	UnixT	E_mean	SumE	Epx_mean	Dose_clu_pGy	Dose_pGy	DR_pGy_s	DR_uGy_h	Long	Lat	Alt	Year	Month	Day	Hour	Min	Sec
[#]	[s]	[#]	[#/cm2/s]	[s]	[keV]	[keV]	[keV/px]	[pGy/clu]	[pGy/f]	[pGy/s]	[uGy/h]	[deg]	[deg]	[km]	[YYYY]	[MM]	[DD]	[hh]	[mm]	[ss]
366150	25.0	1	0.02	1711171242.42	17.5	17.5	17.5	12.3	12.3	0.492	0.002	97.148	25.974	621.039	2024	3	23	5	20	42
366153	25.0	5	0.101	1711171306.419	38.9	194.4	20.5	27.3	136.4	5.456	0.02	97.172	29.672	620.42	2024	3	23	5	21	46
366156	25.0	1	0.02	1711171370.419	43.6	43.6	21.8	30.6	30.6	1.224	0.004	97.22	33.543	619.742	2024	3	23	5	22	50
366159	25.0	5	0.101	1711171434.419	54.1	270.7	28.5	38.0	190.0	7.6	0.027	97.292	37.216	619.078	2024	3	23	5	23	54
366162	25.0	1	0.02	1711171498.42	33.3	33.3	16.6	23.4	23.4	0.936	0.003	97.406	41.159	618.348	2024	3	23	5	24	58
366165	25.0	3	0.061	1711171561.619	16.7	50.2	16.7	11.7	35.2	1.408	0.005	97.566	45.052	617.618	2024	3	23	5	26	1
366193	25.0	3	0.061	1711172202.419	54.6	163.7	28.4	38.3	114.9	4.596	0.017	127.064	84.3	611.025	2024	3	23	5	36	42
366196	17.232	4	0.117	1711172266.419	40.2	160.8	36.3	28.2	112.9	6.552	0.024	165.734	86.553	610.618	2024	3	23	5	37	46
366199	25.0	10	0.202	1711172330.419	53.3	533.0	30.9	37.4	374.1	14.964	0.054	-138.912	85.663	610.244	2024	3	23	5	38	50
366238	25.0	4	0.081	1711173162.419	64.3	257.2	27.2	45.1	180.5	7.22	0.026	-94.842	35.125	609.875	2024	3	23	5	52	42
366241	25.0	8	0.162	1711173226.419	43.0	344.3	25.7	30.2	241.6	9.664	0.035	-94.785	31.417	610.113	2024	3	23	5	53	46
366244	25.0	4	0.081	1711173290.419	45.6	182.5	23.0	32.0	128.1	5.124	0.018	-94.751	27.708	610.372	2024	3	23	5	54	50
366247	25.0	2	0.04	1711173354.419	38.8	77.6	19.4	27.2	54.5	2.18	0.008	-94.736	23.999	610.652	2024	3	23	5	55	54
