Frame#	acq_t_s	NumEvent	Flux	UnixT	E_mean	SumE	Epx_mean	Dose_clu_pGy	Dose_pGy	DR_pGy_s	DR_uGy_h	Long	Lat	Alt	Year	Month	Day	Hour	Min	Sec
[#]	[s]	[#]	[#/cm2/s]	[s]	[keV]	[keV]	[keV/px]	[pGy/clu]	[pGy/f]	[pGy/s]	[uGy/h]	[deg]	[deg]	[km]	[YYYY]	[MM]	[DD]	[hh]	[mm]	[ss]
365435	25.0	11	0.222	1711156134.419	341.4	3755.5	22.5	239.6	2635.6	105.424	0.38	-21.714	8.385	611.82	2024	3	23	1	8	54
365438	25.0	10	0.202	1711156198.419	425.9	4259.3	25.0	298.9	2989.2	119.568	0.43	-21.747	4.675	612.122	2024	3	23	1	9	58
365476	25.0	41	0.828	1711157030.42	800.4	32817.1	37.5	561.7	23031.2	921.248	3.316	-21.4	-47.197	616.115	2024	3	23	1	23	50
365479	25.0	76	1.535	1711157094.42	182.3	13857.0	25.1	128.0	9724.9	388.996	1.4	-21.151	-50.891	616.403	2024	3	23	1	24	54
365482	25.0	48	0.97	1711157158.42	274.8	13192.1	24.5	192.9	9258.3	370.332	1.333	-20.815	-54.582	616.689	2024	3	23	1	25	58
365512	25.0	19	0.384	1711157803.22	157.0	2983.3	26.0	110.2	2093.7	83.748	0.301	120.609	-83.603	620.483	2024	3	23	1	36	43
365515	25.0	23	0.465	1711157862.42	355.4	8173.3	33.4	249.4	5736.1	229.444	0.826	131.781	-80.249	620.876	2024	3	23	1	37	42
365518	25.0	5	0.101	1711157926.419	246.4	1231.8	29.9	172.9	864.5	34.58	0.124	137.037	-76.71	621.267	2024	3	23	1	38	46
365521	25.0	18	0.364	1711157990.419	887.6	15976.0	37.4	622.9	11212.0	448.48	1.615	139.992	-73.102	621.652	2024	3	23	1	39	50
365524	25.0	13	0.263	1711158054.419	1202.4	15630.8	32.7	843.8	10969.8	438.792	1.58	141.841	-69.462	622.046	2024	3	23	1	40	54
365527	25.0	22	0.444	1711158118.419	348.1	7658.3	28.0	244.3	5374.6	214.984	0.774	143.079	-65.804	622.43	2024	3	23	1	41	58
365560	25.0	11	0.222	1711158822.42	549.2	6041.5	22.8	385.5	4240.0	169.6	0.611	146.167	-21.569	625.196	2024	3	23	1	53	42
365563	25.0	9	0.182	1711158886.419	242.6	2183.0	28.2	170.2	1532.0	61.28	0.221	146.158	-17.875	625.173	2024	3	23	1	54	46
365566	25.0	9	0.182	1711158950.42	452.3	4070.5	16.4	317.4	2856.7	114.268	0.411	146.139	-14.179	625.096	2024	3	23	1	55	50
365569	25.0	4	0.081	1711159014.42	301.1	1204.4	27.2	211.3	845.3	33.812	0.122	146.113	-10.484	624.973	2024	3	23	1	56	54
365572	25.0	7	0.141	1711159078.419	164.9	1154.1	28.5	115.7	810.0	32.4	0.117	146.081	-6.787	624.785	2024	3	23	1	57	58
365605	25.0	6	0.121	1711159783.42	585.8	3515.0	32.0	411.1	2466.8	98.672	0.355	146.023	37.584	619.042	2024	3	23	2	9	43
365608	25.0	10	0.202	1711159847.419	416.5	4165.2	31.4	292.3	2923.2	116.928	0.421	146.132	41.281	618.357	2024	3	23	2	10	47
365611	25.0	6	0.121	1711159911.419	292.7	1756.1	37.9	205.4	1232.4	49.296	0.177	146.284	44.977	617.673	2024	3	23	2	11	51
365614	25.0	8	0.162	1711159975.419	2725.2	21801.4	33.0	1912.5	15300.3	612.012	2.203	146.492	48.672	616.981	2024	3	23	2	12	55
365617	25.0	17	0.343	1711160039.42	884.5	15037.3	29.7	620.8	10553.3	422.132	1.52	146.773	52.364	616.286	2024	3	23	2	13	59
365623	25.0	28	0.566	1711160167.42	612.7	17154.7	28.4	430.0	12039.3	481.572	1.734	147.822	60.689	614.767	2024	3	23	2	16	7
365626	1.0	8	4.04	1711160231.42	218.5	1747.9	22.3	153.3	1226.7	1226.7	4.416	148.645	64.615	614.077	2024	3	23	2	17	11
365629	22.754	182	4.04	1711160295.419	221.0	40222.3	26.5	155.1	28228.2	1240.582	4.466	149.837	68.53	613.413	2024	3	23	2	18	15
365632	25.0	78	1.576	1711160359.42	197.7	15418.3	28.1	138.7	10820.6	432.824	1.558	151.641	72.427	612.784	2024	3	23	2	19	19
365638	25.0	19	0.384	1711160487.419	394.4	7494.5	30.1	276.8	5259.7	210.388	0.757	159.934	80.085	611.642	2024	3	23	2	21	27
365641	25.0	24	0.485	1711160551.42	660.1	15842.7	33.7	463.3	11118.5	444.74	1.601	171.847	83.673	611.139	2024	3	23	2	22	31
365644	25.0	38	0.768	1711160615.419	429.1	16306.9	29.8	301.2	11444.3	457.772	1.648	-153.228	86.383	610.683	2024	3	23	2	23	35
365647	23.903	28	0.592	1711160679.419	555.6	15556.2	30.4	389.9	10917.4	456.738	1.644	-92.943	85.824	610.281	2024	3	23	2	24	39
365650	6.253	2	0.162	1711160743.419	526.6	1053.2	53.5	369.6	739.1	118.199	0.426	-65.714	82.236	609.887	2024	3	23	2	25	43
365653	25.0	25	0.505	1711160807.519	445.2	11130.5	41.1	312.5	7811.4	312.456	1.125	-57.775	78.768	609.614	2024	3	23	2	26	47
365656	25.0	25	0.505	1711160871.519	464.3	11607.0	27.4	325.8	8145.9	325.836	1.173	-53.71	75.18	609.39	2024	3	23	2	27	51
365659	25.0	29	0.586	1711160935.42	667.3	19351.3	24.8	468.3	13580.9	543.236	1.956	-51.306	71.543	609.218	2024	3	23	2	28	55
365662	25.0	21	0.424	1711160999.42	307.9	6465.2	26.9	216.1	4537.3	181.492	0.653	-49.755	67.881	609.089	2024	3	23	2	29	59
365695	25.0	2	0.04	1711161703.419	106.6	213.1	11.3	74.8	149.6	5.984	0.022	-46.008	23.479	610.532	2024	3	23	2	41	43
365698	25.0	14	0.283	1711161767.419	1609.2	22529.3	25.6	1129.4	15811.2	632.448	2.277	-46.01	19.769	610.81	2024	3	23	2	42	47
365701	25.0	7	0.141	1711161831.419	417.4	2921.7	27.2	292.9	2050.5	82.02	0.295	-46.023	16.059	611.097	2024	3	23	2	43	51
365704	25.0	1	0.02	1711161895.42	1487.2	1487.2	92.9	1043.7	1043.7	41.748	0.15	-46.045	12.349	611.401	2024	3	23	2	44	55
365707	25.0	5	0.101	1711161959.419	530.9	2654.3	25.4	372.6	1862.8	74.512	0.268	-46.073	8.639	611.7	2024	3	23	2	45	59
365761	2.294	43	9.467	1711162855.419	2441.5	104984.6	51.5	1713.5	73678.8	32118.047	115.625	-45.775	-46.944	616.143	2024	3	23	3	0	55
