Frame#	acq_t_s	NumEvent	Flux	UnixT	E_mean	SumE	Epx_mean	Dose_clu_pGy	Dose_pGy	DR_pGy_s	DR_uGy_h	Long	Lat	Alt
[#]	[s]	[#]	[#/cm2/s]	[s]	[keV]	[keV]	[keV/px]	[pGy/clu]	[pGy/f]	[pGy/s]	[uGy/h]	[deg]	[deg]	[km]
371173	25.0	1	0.020202020202020204	1711307187.419	711.5	711.5	35.6	499.3	499.3	19.972	0.072	64.898	31.379	609.264
371182	25.0	1	0.020202020202020204	1711307379.419	2127.2	2127.2	22.6	1492.9	1492.9	59.716	0.215	64.945	19.506	610.25
371185	25.0	1	0.020202020202020204	1711307443.419	4587.4	4587.4	19.3	3219.5	3219.5	128.78	0.464	64.93	15.548	610.614
371188	25.0	1	0.020202020202020204	1711307507.419	191.6	191.6	38.3	134.5	134.5	5.38	0.019	64.905	11.59	610.985
371215	25.0	1	0.020202020202020204	1711308083.419	1471.4	1471.4	56.6	1032.6	1032.6	41.304	0.149	64.659	-24.014	614.41
371224	25.0	2	0.04040404040404041	1711308275.419	3720.9	7441.7	75.2	2611.3	5222.6	208.904	0.752	64.779	-35.865	615.5
371230	25.0	3	0.06060606060606061	1711308367.1190004	1450.1	4350.3	51.1	1017.7	3053.1	122.124	0.44	64.936	-41.52	616.012
371233	25.0	3	0.06060606060606061	1711308403.419	2735.2	8205.6	47.7	1919.6	5758.7	230.348	0.829	65.024	-43.758	616.221
371236	25.0	5	0.10101010101010101	1711308467.419	2480.8	12404.2	71.9	1741.1	8705.3	348.212	1.254	65.227	-47.7	616.579
371239	25.0	1	0.020202020202020204	1711308531.419	830.5	830.5	69.2	582.8	582.8	23.312	0.084	65.508	-51.64	616.944
371242	23.172	14	0.30514012906555626	1711308596.4189994	2615.4	36615.6	71.1	1835.5	25697.0	1108.968	3.992	65.9	-55.637	617.312
371245	25.0	8	0.16161616161616163	1711308660.419	6392.4	51139.1	63.8	4486.2	35889.7	1435.588	5.168	66.432	-59.568	617.687
371248	25.0	13	0.26262626262626265	1711308724.4189994	1571.6	20430.3	64.1	1102.9	14338.1	573.524	2.065	67.177	-63.492	618.069
371251	25.0	10	0.20202020202020202	1711308788.42	3167.9	31678.6	72.0	2223.2	22232.2	889.288	3.201	68.244	-67.406	618.452
371257	25.0	15	0.30303030303030304	1711308916.4200006	2692.8	40392.5	71.1	1889.8	28347.7	1133.908	4.082	72.358	-75.173	619.248
371260	25.0	12	0.24242424242424243	1711308980.42	2850.9	34211.3	69.6	2000.8	24009.7	960.388	3.457	76.773	-78.985	619.662
371263	25.0	12	0.24242424242424243	1711309044.42	1980.9	23770.5	71.8	1390.2	16682.3	667.292	2.402	85.927	-82.652	620.074
371266	17.4	5	0.14512945547428308	1711309108.419	2526.5	12632.3	59.5	1773.1	8865.4	509.506	1.834	110.833	-85.772	620.498
371269	25.0	11	0.2222222222222222	1711309172.419	2451.0	26961.0	73.0	1720.1	18921.4	756.856	2.725	170.595	-86.418	620.923
371272	25.0	7	0.1414141414141414	1711309236.4190001	3081.2	21568.7	67.6	2162.4	15137.0	605.48	2.18	-153.738	-83.756	621.353
371275	25.0	8	0.16161616161616163	1711309300.42	2513.2	20105.2	66.9	1763.7	14109.9	564.396	2.032	-141.524	-80.189	621.774
371278	25.0	11	0.2222222222222222	1711309364.42	2373.1	26103.9	68.8	1665.4	18319.9	732.796	2.638	-136.071	-76.411	622.209
371281	25.0	1	0.020202020202020204	1711309428.419	1729.8	1729.8	101.8	1214.0	1214.0	48.56	0.175	-133.092	-72.559	622.629
371284	25.0	7	0.1414141414141414	1711309492.42	2398.1	16786.4	76.0	1683.0	11780.8	471.232	1.696	-131.261	-68.673	623.035
371287	25.0	8	0.16161616161616163	1711309556.42	2453.2	19625.2	69.2	1721.6	13773.1	550.924	1.983	-130.056	-64.769	623.438
371298	8.661	2	0.11662637225505255	1711309748.419	1551.2	3102.4	56.3	1088.6	2177.3	251.391	0.905	-128.203	-53.007	624.516
371304	25.0	1	0.020202020202020204	1711309876.419	224.5	224.5	44.9	157.6	157.6	6.304	0.023	-127.664	-45.145	625.089
371310	25.0	2	0.04040404040404041	1711310004.419	1062.7	2125.3	38.8	745.8	1491.5	59.66	0.215	-127.387	-37.275	625.501
371313	25.0	1	0.020202020202020204	1711310068.42	1081.5	1081.5	43.3	759.0	759.0	30.36	0.109	-127.312	-33.338	625.643
371322	25.0	1	0.020202020202020204	1711310260.419	380.9	380.9	47.6	267.3	267.3	10.692	0.038	-127.238	-21.522	625.735
371343	25.0	2	0.04040404040404041	1711310708.419	454.5	909.0	56.2	319.0	637.9	25.516	0.092	-127.448	6.074	623.891
371364	25.0	1	0.020202020202020204	1711311156.419	6971.7	6971.7	80.1	4892.8	4892.8	195.712	0.705	-127.459	33.685	619.441
371370	25.0	1	0.020202020202020204	1711311284.519	259.2	259.2	51.8	181.9	181.9	7.276	0.026	-127.261	41.579	617.891
371373	25.0	1	0.020202020202020204	1711311348.42	1832.6	1832.6	53.9	1286.1	1286.1	51.444	0.185	-127.092	45.516	617.101
371376	25.0	3	0.06060606060606061	1711311412.42	1756.2	5268.5	54.8	1232.5	3697.5	147.9	0.532	-126.857	49.457	616.315
371379	25.0	4	0.08080808080808081	1711311476.419	1529.8	6119.0	65.0	1073.6	4294.3	171.772	0.618	-126.534	53.396	615.53
371382	24.684	12	0.2455277127129339	1711311540.4189994	2468.8	29626.1	75.7	1732.6	20791.8	842.319	3.032	-126.091	57.332	614.759
371385	25.0	13	0.26262626262626265	1711311604.4189994	3330.0	43289.7	73.8	2337.0	30381.0	1215.24	4.375	-125.475	61.264	614.008
371390	25.0	7	0.1414141414141414	1711311732.4190001	1794.3	12560.0	64.6	1259.2	8814.7	352.588	1.269	-123.345	69.103	612.586
371393	25.0	14	0.2828282828282828	1711311796.4189994	2869.4	40171.5	74.6	2013.8	28192.6	1127.704	4.06	-121.413	72.998	611.928
371396	25.0	14	0.2828282828282828	1711311860.4200003	3179.7	44516.3	73.5	2231.6	31241.8	1249.672	4.499	-118.232	76.856	611.308
371399	18.284	3	0.0828676173239726	1711311924.4189994	3848.0	11544.1	69.9	2700.6	8101.7	443.103	1.595	-112.286	80.632	610.737
371402	25.0	11	0.2222222222222222	1711311988.42	2538.2	27920.6	66.6	1781.3	19594.8	783.792	2.822	-98.52	84.16	610.216
371405	18.284	3	0.0828676173239726	1711312052.4189994	1607.0	4821.0	66.2	1127.8	3383.4	185.047	0.666	-57.671	86.573	609.748
371408	18.284	7	0.19335777375593607	1711312116.4190001	3943.5	27604.6	62.6	2767.6	19373.1	1059.566	3.814	-0.57	85.441	609.338
371413	18.025	9	0.2521750094565629	1711312244.419	2439.3	21953.8	72.3	1711.9	15407.3	854.774	3.077	29.238	78.475	608.69
371416	25.0	15	0.30303030303030304	1711312308.4200006	3168.9	47533.0	63.1	2223.9	33358.9	1334.356	4.804	33.311	74.64	608.448
371422	25.0	15	0.30303030303030304	1711312436.6220002	3491.6	52373.4	73.6	2450.4	36755.9	1470.236	5.293	37.179	66.829	608.156
371425	25.0	11	0.2222222222222222	1711312501.419	2512.4	27636.9	74.1	1763.2	19395.7	775.828	2.793	38.203	62.853	608.091
371428	25.0	1	0.020202020202020204	1711312565.419	3052.9	3052.9	89.8	2142.5	2142.5	85.7	0.309	38.909	58.917	608.082
371431	25.0	1	0.020202020202020204	1711312629.419	732.9	732.9	61.1	514.4	514.4	20.576	0.074	39.415	54.975	608.13
371434	25.0	1	0.020202020202020204	1711312693.419	234.6	234.6	46.9	164.6	164.6	6.584	0.024	39.784	51.028	608.223
371446	25.0	1	0.020202020202020204	1711312949.419	22216.5	22216.5	78.5	15591.7	15591.7	623.668	2.245	40.478	35.218	609.016
371449	25.0	1	0.020202020202020204	1711313013.419	489.4	489.4	54.4	343.5	343.5	13.74	0.049	40.539	31.261	609.296
371479	25.0	1	0.020202020202020204	1711313653.42	2183.5	2183.5	72.8	1532.4	1532.4	61.296	0.221	40.365	-8.314	612.897
371494	25.0	2	0.04040404040404041	1711313973.419	8341.8	16683.6	64.6	5854.3	11708.6	468.344	1.686	40.314	-28.083	614.733
371503	25.0	4	0.08080808080808081	1711314165.419	742.0	2967.8	68.9	520.7	2082.8	83.312	0.3	40.52	-39.93	615.803
371509	25.0	1	0.020202020202020204	1711314293.42	604.5	604.5	55.0	424.2	424.2	16.968	0.061	40.872	-47.818	616.512
371512	25.0	1	0.020202020202020204	1711314357.419	638.3	638.3	58.0	448.0	448.0	17.92	0.065	41.154	-51.758	616.867
371515	25.0	16	0.32323232323232326	1711314421.42	2621.7	41947.4	67.9	1839.9	29438.9	1177.556	4.239	41.542	-55.694	617.232
371518	17.655	9	0.25745990062047835	1711314485.419	2485.4	22368.3	71.1	1744.2	15698.2	889.165	3.201	42.078	-59.624	617.602
371521	25.0	21	0.42424242424242425	1711314549.419	3341.0	70160.6	77.2	2344.7	49239.1	1969.564	7.09	42.826	-63.548	617.978
371524	25.0	16	0.32323232323232326	1711314613.419	2535.6	40569.2	72.7	1779.5	28471.7	1138.868	4.1	43.897	-67.462	618.363
371527	25.0	15	0.30303030303030304	1711314677.419	2486.7	37301.0	76.1	1745.2	26178.1	1047.124	3.77	45.498	-71.359	618.751
371530	25.0	5	0.10101010101010101	1711314741.42	2494.1	12470.7	69.9	1750.4	8752.0	350.08	1.26	48.034	-75.229	619.153
371533	25.0	13	0.26262626262626265	1711314805.419	2741.8	35643.3	72.9	1924.2	25014.7	1000.588	3.602	52.497	-79.04	619.557
371539	25.0	11	0.2222222222222222	1711314933.419	2483.8	27321.8	75.4	1743.1	19174.6	766.984	2.761	87.013	-85.811	620.388
371542	25.0	13	0.26262626262626265	1711314997.4199998	2488.1	32344.8	74.6	1746.1	22699.8	907.992	3.269	146.96	-86.388	620.813
371545	25.0	5	0.10101010101010101	1711315061.419	2724.7	13623.6	75.9	1912.2	9561.1	382.444	1.377	-156.852	-83.71	621.238
371548	25.0	3	0.06060606060606061	1711315125.42	1825.4	5476.2	66.9	1281.1	3843.2	153.728	0.553	-165.775	-80.136	621.666
371551	25.0	4	0.08080808080808081	1711315189.419	2951.3	11805.3	79.5	2071.2	8285.0	331.4	1.193	-160.372	-76.356	622.099
371554	20.859	15	0.3631889148932152	1711315253.419	1647.4	24711.4	73.2	1156.2	17342.6	831.42	2.993	-157.415	-72.503	622.517
371557	25.0	10	0.20202020202020202	1711315317.419	4612.2	46121.7	76.2	3236.8	32368.5	1294.74	4.661	-155.599	-68.616	622.931
371560	16.098	11	0.34510843306967054	1711315381.419	3378.5	37163.5	72.2	2371.1	26081.6	1620.176	5.833	-154.399	-64.712	623.331
