Frame#	acq_t_s	NumEvent	Flux	UnixT	E_mean	SumE	Epx_mean	Dose_clu_pGy	Dose_pGy	DR_pGy_s	DR_uGy_h	Long	Lat	Alt
[#]	[s]	[#]	[#/cm2/s]	[s]	[keV]	[keV]	[keV/px]	[pGy/clu]	[pGy/f]	[pGy/s]	[uGy/h]	[deg]	[deg]	[km]
370170	6.962	58	4.207545144057641	1711286574.4189994	1522.1	88279.1	47.0	1068.2	61954.8	8898.995	32.036	-30.24	-45.637	624.85
370173	1.972	37	9.476099739791424	1711286638.4190001	1553.5	57479.2	54.3	1090.2	40339.2	20455.984	73.642	-30.079	-41.949	625.075
370222	19.747	23	0.5882494361757035	1711287342.4190004	878.5	20206.4	29.8	616.6	14181.0	718.134	2.585	-29.967	2.378	624.222
370225	25.0	9	0.18181818181818182	1711287406.419	320.8	2887.2	23.7	225.1	2026.3	81.052	0.292	-30.003	6.076	623.815
370228	25.0	3	0.06060606060606061	1711287470.4190001	317.5	952.6	17.6	222.8	668.5	26.74	0.096	-30.035	9.773	623.36
370231	25.0	2	0.04040404040404041	1711287534.419	200.9	401.9	21.3	141.0	282.1	11.284	0.041	-30.063	13.471	622.86
370234	25.0	8	0.16161616161616163	1711287598.419	409.5	3276.4	19.5	287.4	2299.4	91.976	0.331	-30.083	17.169	622.31
370267	25.0	38	0.7676767676767676	1711288302.4190001	1473.1	55976.4	47.4	1033.8	39284.6	1571.384	5.657	-27.99	61.512	614.029
370273	5.88	63	5.411255411255411	1711288430.4200003	1333.9	84038.5	46.0	936.2	58978.7	10030.391	36.109	-26.001	68.861	612.695
370276	9.617	66	3.466084364493432	1711288494.4200003	2000.3	132022.1	55.8	1403.8	92653.8	9634.377	34.684	-24.271	72.514	612.071
370279	5.55	37	3.367003367003367	1711288558.42	2537.1	93873.5	66.9	1780.6	65880.9	11870.432	42.734	-21.539	76.139	611.492
370317	25.0	15	0.30303030303030304	1711289391.4189992	270.5	4058.2	24.9	189.9	2848.1	113.924	0.41	137.207	51.336	608.234
370320	25.0	24	0.48484848484848486	1711289455.419	308.5	7403.1	21.9	216.5	5195.5	207.82	0.748	137.467	47.633	608.366
370323	25.0	5	0.10101010101010101	1711289519.42	219.3	1096.7	25.2	153.9	769.7	30.788	0.111	137.659	43.929	608.519
370356	25.0	10	0.20202020202020202	1711290223.4189994	303.7	3036.8	19.4	213.1	2131.2	85.248	0.307	137.882	-0.587	612.1
370359	25.0	4	0.08080808080808081	1711290287.419	662.7	2650.8	23.8	465.1	1860.3	74.412	0.268	137.846	-4.297	612.449
370362	25.0	2	0.04040404040404041	1711290351.419	416.8	833.6	23.7	292.5	585.0	23.4	0.084	137.813	-8.006	612.788
370365	25.0	5	0.10101010101010101	1711290415.419	111.2	556.0	23.5	78.0	390.2	15.608	0.056	137.784	-11.715	613.132
370368	25.0	7	0.1414141414141414	1711290479.4190001	349.2	2444.4	26.4	245.1	1715.5	68.62	0.247	137.76	-15.423	613.47
370401	6.369	55	4.361403325133895	1711291183.4189994	1807.8	99428.7	52.1	1268.7	69779.6	10956.131	39.442	139.552	-59.812	617.477
370404	12.675	98	3.9049269818500583	1711291247.4189994	1603.8	157174.6	45.6	1125.6	110306.0	8702.643	31.33	140.256	-63.49	617.823
370410	5.145	40	3.9265345387794373	1711291375.42	1477.4	59094.5	47.8	1036.8	41472.9	8060.816	29.019	142.672	-70.816	618.555
370445	25.0	41	0.8282828282828283	1711292143.419	209.4	8583.6	27.6	146.9	6024.0	240.96	0.867	-56.091	-60.609	623.736
370448	25.0	1	0.020202020202020204	1711292207.419	13.7	13.7	13.7	9.6	9.6	0.384	0.001	-55.543	-56.932	624.079
370456	8.474	67	3.9932008305857725	1711292399.419	2333.9	156373.4	53.7	1638.0	109743.7	12950.637	46.622	-54.615	-45.881	624.975
370509	25.0	6	0.12121212121212122	1711293232.4190001	224.5	1347.2	22.4	157.6	945.5	37.82	0.136	-54.362	5.828	624.025
370512	25.0	2	0.04040404040404041	1711293296.42	113.6	227.1	12.9	79.7	159.4	6.376	0.023	-54.394	9.526	623.581
370515	25.0	9	0.18181818181818182	1711293360.42	377.3	3395.4	27.3	264.8	2382.9	95.316	0.343	-54.422	13.223	623.075
370550	9.32	25	1.3547492088264619	1711294128.4189994	1929.1	48227.6	53.1	1353.9	33846.4	3631.588	13.074	-52.396	61.263	614.212
370553	11.653	44	1.906995814144188	1711294192.4189994	2241.2	98613.9	54.5	1572.9	69207.8	5939.054	21.381	-51.593	64.942	613.526
370559	18.619	73	1.9801647171538144	1711294320.4190001	2370.0	173009.4	56.1	1663.3	121419.0	6521.242	23.476	-48.772	72.268	612.238
370571	15.278	59	1.9503848539062572	1711294576.4199998	1981.6	116915.6	53.7	1390.7	82052.0	5370.598	19.334	11.952	86.502	609.931
370574	11.48	53	2.331679160947454	1711294640.4199998	1620.6	85890.6	53.3	1137.3	60278.5	5250.74	18.903	70.455	85.595	609.508
370577	11.48	66	2.9036004645760745	1711294704.4209995	2016.4	133082.9	45.1	1415.1	93398.3	8135.74	29.289	93.402	82.386	609.136
370592	18.513	165	4.501341399737122	1711295024.4190001	418.8	69109.7	30.8	293.9	48501.6	2619.867	9.432	111.326	62.673	608.161
370595	14.114	172	6.154788640264054	1711295088.4190004	157.1	27014.1	26.9	110.2	18958.6	1343.248	4.836	111.984	58.983	608.149
370598	25.0	37	0.7474747474747475	1711295152.4189992	230.1	8514.0	25.5	161.5	5975.2	239.008	0.86	112.466	55.287	608.176
370601	25.0	1	0.020202020202020204	1711295216.419	46.2	46.2	23.1	32.4	32.4	1.296	0.005	112.823	51.588	608.254
370604	25.0	37	0.7474747474747475	1711295280.4189992	411.1	15210.8	28.3	288.5	10675.0	427.0	1.537	113.088	47.885	608.365
370637	25.0	8	0.16161616161616163	1711295984.419	255.2	2041.7	31.0	179.1	1432.9	57.316	0.206	113.558	3.376	611.708
370640	25.0	4	0.08080808080808081	1711296048.419	145.2	580.8	18.6	101.9	407.6	16.304	0.059	113.522	-0.334	612.057
370643	25.0	4	0.08080808080808081	1711296112.419	239.6	958.3	46.4	168.1	672.5	26.9	0.097	113.487	-4.044	612.406
370646	25.0	9	0.18181818181818182	1711296176.419	517.5	4657.5	29.7	363.2	3268.7	130.748	0.471	113.454	-7.753	612.75
370649	25.0	4	0.08080808080808081	1711296240.419	200.4	801.4	26.6	140.6	562.4	22.496	0.081	113.424	-11.462	613.091
370682	20.014	50	1.2617430424965153	1711296944.419	1256.8	62839.0	46.8	882.0	44100.8	2203.498	7.933	114.649	-55.876	617.109
370688	25.0	21	0.42424242424242425	1711297073.4190004	1727.6	36279.8	54.6	1212.4	25461.4	1018.456	3.666	115.843	-63.24	617.823
370691	25.0	64	1.292929292929293	1711297137.419	1157.0	74050.7	44.1	812.0	51969.2	2078.768	7.484	116.807	-66.91	618.188
370694	25.0	66	1.3333333333333333	1711297201.4189994	1247.5	82337.0	45.7	875.5	57784.6	2311.384	8.321	118.199	-70.568	618.56
370727	25.0	73	1.4747474747474747	1711297905.419	79.2	5782.1	25.6	55.6	4057.9	162.316	0.584	-81.272	-64.53	623.403
370730	25.0	78	1.5757575757575757	1711297969.4189992	109.9	8571.5	24.9	77.1	6015.5	240.62	0.866	-80.5	-60.859	623.777
370733	25.0	46	0.9292929292929293	1711298033.419	83.2	3825.4	31.4	58.4	2684.7	107.388	0.387	-79.94	-57.183	624.128
370736	25.0	173	3.494949494949495	1711298097.419	46.3	8010.6	24.5	32.5	5621.9	224.876	0.81	-79.526	-53.502	624.456
370739	25.0	280	5.656565656565657	1711298161.419	58.0	16245.5	26.5	40.7	11401.2	456.048	1.642	-79.219	-49.819	624.762
370780	25.0	41	0.8282828282828283	1711298865.42	2493.3	102226.3	30.6	1749.8	71743.0	2869.72	10.331	-78.613	-5.515	625.194
370785	25.0	14	0.2828282828282828	1711298993.4190001	236.3	3308.8	23.2	165.9	2322.1	92.884	0.334	-78.685	1.878	624.546
370788	25.0	4	0.08080808080808081	1711299057.419	124.9	499.5	23.3	87.6	350.6	14.024	0.05	-78.72	5.575	624.142
370791	25.0	8	0.16161616161616163	1711299121.419	294.5	2355.8	31.9	206.7	1653.3	66.132	0.238	-78.753	9.272	623.684
370824	25.0	87	1.7575757575757576	1711299825.4199991	1177.7	102463.6	39.3	826.5	71909.5	2876.38	10.355	-77.788	53.633	615.668
370827	18.272	54	1.4925967202674735	1711299889.4199991	1285.5	69416.3	46.6	902.2	48716.7	2666.194	9.598	-77.368	57.323	614.937
370830	14.673	41	1.4112363325203234	1711299953.419	1367.4	56062.0	42.2	959.6	39344.6	2681.428	9.653	-76.799	61.009	614.222
370873	20.288	53	1.3193846987222382	1711300785.4199991	1485.1	78712.2	37.7	1042.3	55240.7	2722.826	9.802	85.968	66.607	608.211
370879	25.0	318	6.424242424242424	1711300914.4189994	260.8	82948.9	28.2	183.1	58214.0	2328.56	8.383	87.581	59.235	608.128
370882	25.0	46	0.9292929292929293	1711300978.4190001	297.7	13693.0	29.0	208.9	9609.8	384.392	1.384	88.073	55.54	608.163
370915	25.0	3	0.06060606060606061	1711301682.4190001	197.0	591.0	19.4	138.3	414.8	16.592	0.06	89.263	11.052	611.022
370918	25.0	3	0.06060606060606061	1711301746.4190001	324.1	972.3	19.8	227.5	682.4	27.296	0.098	89.233	7.341	611.374
370921	25.0	4	0.08080808080808081	1711301810.42	1395.5	5581.9	19.8	979.4	3917.4	156.696	0.564	89.199	3.631	611.73
370924	25.0	7	0.1414141414141414	1711301874.4189994	250.3	1752.3	18.4	175.7	1229.8	49.192	0.177	89.164	-0.08	612.08
370927	25.0	2	0.04040404040404041	1711301938.419	37.3	74.6	37.3	26.2	52.4	2.096	0.008	89.128	-3.789	612.441
370960	14.683	182	6.26024599327058	1711302642.42	313.1	56987.6	29.4	219.7	39994.2	2723.844	9.806	89.623	-48.238	616.577
370963	10.817	36	1.6808558918201146	1711302706.419	719.6	25905.0	37.3	505.0	18180.3	1680.716	6.051	89.895	-51.931	616.91
370969	14.693	45	1.5468095506208894	1711302834.42	1046.0	47069.5	41.6	734.1	33033.6	2248.254	8.094	90.754	-59.306	617.615
370972	16.64	34	1.0319541569541568	1711302898.419	1126.3	38295.8	46.7	790.5	26876.2	1615.156	5.815	91.428	-62.985	617.97
370996	25.0	42	0.8484848484848485	1711303372.0219998	903.8	37960.5	43.4	634.3	26640.9	1065.636	3.836	-146.897	-85.654	621.078
371007	25.0	55	1.1111111111111112	1711303602.4190006	1786.5	98257.9	40.3	1253.8	68957.9	2758.316	9.93	-108.463	-72.091	622.707
371010	25.0	165	3.3333333333333335	1711303666.4200008	298.7	49288.8	27.7	209.6	34591.2	1383.648	4.981	-106.817	-68.446	623.093
371013	10.992	287	13.186817226118537	1711303730.4200003	58.3	16738.6	25.3	40.9	11747.2	1068.705	3.847	-105.699	-64.786	623.479
